DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain
1006200,Lake or Pond,478161.8144,5178526.958,Aitkin,Y,0,1.273618272,3.333333333,59.9015,1642.7369010532216,1659.3175824343334,1660.654588507005,1657.7754160324066,1554.746897235145,2049.1319341694593,2144.6033166435477,2050.8304347337144,1908.7623018444135,1896.9112375867344,Analog,Analog,Analog,Analog,Analog
1010400,Lake or Pond,458297.0716,5163659.077,Aitkin,Y,1,2.225896296,3.1,37.9678,1727.2368241440768,1737.9333759756285,1736.23700181767,1735.5751765897332,1631.3975042710351,2135.511170811312,2239.607862013677,2140.676909569878,1992.2390725915757,1973.8081457520111,Analog,Analog,Analog,Analog,Analog
1015700,Lake or Pond,440638.8309,5133864.451,Aitkin,Y,0,3.751983118,6.5,33.541,1551.9107861195948,1566.45667289073,1567.91503078772,1561.2566407336833,1456.3285429821717,1964.831791036814,2051.8290770357153,1967.4412389482848,1816.0164997613583,1800.2379453230626,Analog,Analog,Analog,Analog,Analog
1020400,Lake or Pond,438034.8405,5131543.537,Aitkin,Y,0,3.542339277,5.9,34.3914,1556.52042591717,1575.20339956705,1583.4573275919083,1575.904947310387,1467.4134179932637,1979.0738262532852,2066.681663069809,1983.3651569743347,1832.8356019723049,1813.1625615087269,Analog,Analog,Analog,Analog,Analog
2000300,Lake or Pond,496849.0276,4996730.893,Anoka,Y,1,3.235489855,5.7,72.6983,1798.5228155732766,1832.1223084272851,1790.6550996621684,1813.105195174405,1682.4787751410115,2265.2478558414623,2388.251517815376,2265.3470691912694,2092.774595605889,2087.332096222007,NonAnalog,NonAnalog,NonAnalog,Analog,Analog
2000400,Lake or Pond,495368.9805,5003213.13,Anoka,Y,1,1.258507742,5,45.8752,1918.4535008288285,1955.268780857513,1914.7364571920516,1938.4542020954016,1811.722968419335,2389.3584527571716,2519.8480446360318,2390.365072475829,2214.155017167874,2212.039580779235,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
2000500,Lake or Pond,492958.6663,5002514.791,Anoka,Y,1,0.62185567,1.5,32.6897,1933.7763904606545,1971.2601735590863,1931.20111783047,1954.2241786318757,1828.2093552812016,2405.948799084669,2537.868795000861,2407.1445461325075,2231.5603250369536,2229.7868533227133,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
2000600,Lake or Pond,494460.8242,5001105.981,Anoka,Y,1,1.302719735,5,50.0948,2030.3845326434969,2065.9204776966417,2037.4835635857737,2056.5809632871183,1923.3568749102717,2509.1959406267342,2651.23216298325,2513.7065378344023,2328.9255913825828,2325.4273539344645,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
2000700,Lake or Pond,491397.8256,5001777.571,Anoka,Y,1,0.558478261,1.5,54.8147,1945.4540825632632,1988.4185501794084,1946.246935787705,1969.3459719665416,1842.6123844687736,2421.3456874089475,2553.226248011574,2425.8228941917323,2248.806929126112,2250.0621765457236,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
2002600,Lake or Pond,491522.891,5022022.941,Anoka,Y,1,1.073605522,3.05,39.2435,1913.4756867491549,1949.3842482843168,1920.1676944427463,1935.3977088252716,1807.85993776934,2375.4474833232744,2498.83803337662,2372.8041464566636,2201.6024154308193,2191.262716400121,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
