DOWLKNUM,UTMX,UTMY,LON,LAT
1000100,494097.0582,5114741.396,-93.07649059,46.18622363
1003400,483970.3014,5173669.424,-93.2097389,46.7163875
1007200,470459.1842,5164338.888,-93.38592232,46.63196075
1008900,462197.1965,5148324.396,-93.49254774,46.48742935
1009200,464357.0013,5143108.449,-93.46400876,46.44060712
1009600,464414.4068,5150836.52,-93.46385202,46.51015736
1010200,461899.8436,5165316.622,-93.49781873,46.64032757
1010400,458297.0716,5163659.077,-93.54474098,46.62519693
1010500,461988.9966,5164146.343,-93.49655756,46.62980129
1015700,440638.8309,5133864.451,-93.77158104,46.35575192
1015900,440683.782,5141227.325,-93.77193035,46.42201372
1018800,442659.2341,5166528.793,-93.74934995,46.64986541
1020400,438034.8405,5131543.537,-93.80511788,46.33463285
2000400,495368.9805,5003213.13,-93.05894518,45.18238548
2000600,494460.8242,5001105.981,-93.0704811,45.16341112
2000900,492229.7453,4999887.982,-93.0988506,45.15242605
2001600,496619.9032,5011821.59,-93.0430815,45.25988228
2002600,491522.891,5022022.941,-93.10822069,45.35166602
2004200,486945.324,5016905.783,-93.16652372,45.30553427
2005300,482559.9597,5011560.083,-93.22227451,45.25732016
2008400,473061.835,5006368.734,-93.34304572,45.21029104
2009100,473692.683,5022636.811,-93.33587526,45.35674912
3001000,327229.8412,5201583.145,-95.27024892,46.94526301
3003000,327775.1165,5215532.625,-95.26839627,47.07083444
3009600,322503.4943,5216279.375,-95.33806492,47.07615281
3010200,313777.5079,5202079.708,-95.44706092,46.94608733
3020000,298414.3905,5199244.742,-95.64747105,46.91611241
3024101,296242.9178,5197828.385,-95.67532382,46.9027179
3024102,296543.155,5201305.688,-95.6729412,46.93406772
3024200,298107.1178,5205752.9,-95.65439444,46.97452214
3036600,284116.8788,5182282.733,-95.82700329,46.7591635
3040000,280140.3082,5191411.143,-95.8833933,46.83990926
3048900,275699.0777,5181987.08,-95.9369453,46.75373175
4003200,385138.8669,5268671.869,-94.52690228,47.5612984
4003400,386027.8351,5277152.948,-94.51729355,47.63773954
4019800,355105.7154,5283645.935,-94.93089252,47.68994727
5001300,409065.841,5064907.184,-94.16873649,45.73174306
6000100,252568.7582,5009559.924,-96.15015212,45.19606714
6000200,254132.2222,5027166.37,-96.13899794,45.3548609
7004400,435926.3612,4893233.802,-93.80173666,44.18950702
7004700,430489.1567,4898142.713,-93.87041415,44.23320001
