DOWLKNUM,UTMX,UTMY,LON,LAT,EWMSTATUS,EWMSTATUS_corrRelFrq,max_depth,size_acres,avg_ph,avg_secchi,avg_conductance,avg_phosphorus,avg_chlorophylla,a440.cdom,mean.gdd_wtr_10c
1000100,494097.0582,5114741.396,-93.07649059,46.18622363,U,0,7.9248,377.7636297,7.171111111,1.848180386,140.74,0.089083333,14.05714286,5.3052915,1718.51915
1003400,483970.3014,5173669.424,-93.2097389,46.7163875,U,0,3.3528,240.0631852,7.525,0.980410213,114.5166667,0.048166667,22.4,10.93342255,1610.660012
1007200,470459.1842,5164338.888,-93.38592232,46.63196075,U,0,4,341.4781003,7.577777778,1.137386667,96.41111111,0.0295,33.9,7.15489585,1599.119742
1008900,462197.1965,5148324.396,-93.49254774,46.48742935,U,0,35.3568,434.7211863,7.44462963,3.404597262,151.0563636,0.0164,6.802857143,3.94386225,1529.138006
1009200,464357.0013,5143108.449,-93.46400876,46.44060712,U,0,1.524,271.5376403,7.82,1.179166667,48.06,0.0235,9.72,8.592259,1520.099149
1009600,464414.4068,5150836.52,-93.46385202,46.51015736,U,0,14.3256,597.6574358,7.57625,3.044336877,181.9666667,0.051916667,10.83111111,1.4442527,1550.136009
1010200,461899.8436,5165316.622,-93.49781873,46.64032757,U,0,11.8872,348.8580759,7.755625,4.703155274,146.1393939,0.070875,5.22,1.8602385,1528.831364
1010400,458297.0716,5163659.077,-93.54474098,46.62519693,1,1,11.2776,149.2618164,7.736666667,2.225896296,212.7368421,0.020666667,7.482,3.82896325,1604.868496
1010500,461988.9966,5164146.343,-93.49655756,46.62980129,U,0,4.572,318.8279002,7.788,1.162965138,127.2,0.069533333,39.66333333,1.8853567,1630.941744
1015700,440638.8309,5133864.451,-93.77158104,46.35575192,0,0,23.7744,638.0269422,7.944444444,3.751983118,256.6,0.013428571,3.2,0.3413578,1551.044959
1015900,440683.782,5141227.325,-93.77193035,46.42201372,U,0,15.5448,2005.194062,7.726222222,3.518927292,202.9666667,0.058333333,5.23,0.52636135,1549.935394
1018800,442659.2341,5166528.793,-93.74934995,46.64986541,U,0,4.8768,304.3711034,7.56,1.438072917,151.26,0.041230769,15.28888889,4.3050718,1513.30197
1020400,438034.8405,5131543.537,-93.80511788,46.33463285,0,0,36.8808,736.6553297,7.925,3.542339277,289.3333333,0.0128,3,0.25282675,1555.883457
2000400,495368.9805,5003213.13,-93.05894518,45.18238548,1,1,4.572,551.9256232,8.38043956,1.258507742,414.2843137,0.263583333,85.345,4.331228525,1855.70541
2000600,494460.8242,5001105.981,-93.0704811,45.16341112,1,1,5.4864,473.8586731,8.399528302,1.302719735,349.5027273,0.05486,43.96,0.2765506,1954.509856
2000900,492229.7453,4999887.982,-93.0988506,45.15242605,U,0,2.7432,336.4993232,9.08,0.641458333,272.75,0.106823529,47.78571429,2.6295211,1964.698094
2001600,496619.9032,5011821.59,-93.0430815,45.25988228,U,0,1.521066903,455.5937262,8.989166667,1.061052632,427.4761905,0.05273913,15.71142857,3.60912945,1834.509447
2002600,491522.891,5022022.941,-93.10822069,45.35166602,1,1,12.4968,572.1010891,8.419230769,1.073605522,237.6969697,0.063119048,24.40833333,1.58634245,1904.66129
2004200,486945.324,5016905.783,-93.16652372,45.30553427,1,1,7.9248,1481.242512,8.326521739,1.898448566,183.2619048,0.035948718,9.3732,2.32040075,1777.911542
2005300,482559.9597,5011560.083,-93.22227451,45.25732016,1,1,6.4008,154.6295017,8.3672,2.698723268,255.1818182,0.026444444,7.794444444,1.42803295,1748.445862
2006500,486952.2348,5027759.03,-93.16672218,45.40322804,U,0,2.7432,334.2930015,8.741111111,3.3528,78.85454545,0.006666667,0.0031,1.25662065,1630.373578
2008400,473061.835,5006368.734,-93.34304572,45.21029104,1,1,7.62,114.9304084,8.28969697,2.133528421,442.5166667,0.027117647,6.494444444,1.93258605,1931.492857
2009100,473692.683,5022636.811,-93.33587526,45.35674912,1,1,9.4488,488.627662,8.142777778,2.622070253,181.40625,0.028055556,8.42,0.47929515,1759.889125
3001000,327229.8412,5201583.145,-95.27024892,46.94526301,U,0,18.8976,471.442435,7.616666667,2.717688706,308.3333333,0.055375,8.666666667,1.2801775,1458.690532
