DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
1006200,Lake or Pond,478161.8144,5178526.958,Aitkin,Y,0,1.273618272,3.333333333,59.9015,2049.1319341694593,2144.6033166435477,2050.8304347337144,1908.7623018444137,1896.9112375867346
1010400,Lake or Pond,458297.0716,5163659.077,Aitkin,Y,1,2.225896296,3.1,37.9678,2135.5111708113122,2239.607862013677,2140.6769095698774,1992.2390725915757,1973.8081457520111
1015700,Lake or Pond,440638.8309,5133864.451,Aitkin,Y,0,3.751983118,6.5,33.541,1964.8317910368141,2051.8290770357153,1967.4412389482848,1816.0164997613583,1800.2379453230626
1020400,Lake or Pond,438034.8405,5131543.537,Aitkin,Y,0,3.542339277,5.9,34.3914,1979.0738262532852,2066.681663069809,1983.3651569743347,1832.8356019723049,1813.1625615087269
2000300,Lake or Pond,496849.0276,4996730.893,Anoka,Y,1,3.235489855,5.7,72.6983,2265.2478558414623,2388.2515178153762,2265.3470691912694,2092.774595605889,2087.332096222007
2000400,Lake or Pond,495368.9805,5003213.13,Anoka,Y,1,1.258507742,5,45.8752,2389.3584527571716,2519.8480446360318,2390.365072475829,2214.155017167874,2212.039580779235
2000500,Lake or Pond,492958.6663,5002514.791,Anoka,Y,1,0.62185567,1.5,32.6897,2405.948799084669,2537.868795000861,2407.1445461325075,2231.5603250369536,2229.7868533227133
2000600,Lake or Pond,494460.8242,5001105.981,Anoka,Y,1,1.302719735,5,50.0948,2509.1959406267342,2651.23216298325,2513.7065378344023,2328.9255913825828,2325.4273539344645
2000700,Lake or Pond,491397.8256,5001777.571,Anoka,Y,1,0.558478261,1.5,54.8147,2421.3456874089475,2553.226248011574,2425.8228941917323,2248.8069291261118,2250.0621765457236
2002600,Lake or Pond,491522.891,5022022.941,Anoka,Y,1,1.073605522,3.05,39.2435,2375.4474833232744,2498.83803337662,2372.8041464566636,2201.6024154308193,2191.262716400121
2004200,Lake or Pond,486945.324,5016905.783,Anoka,Y,1,1.898448566,10.05,51.1229,2229.772497942593,2342.3093981176785,2224.0395291763384,2053.747580080611,2047.8983566476038
2005300,Lake or Pond,482559.9597,5011560.083,Anoka,Y,1,2.698723268,15.8,59.2544,2292.7874865705994,2413.3525981461553,2293.892954690005,2113.719568706034,2109.5725464626717
2008400,Lake or Pond,473061.835,5006368.734,Anoka,Y,1,2.133528421,5.06,109.9689,2449.1598291467885,2579.01440921217,2446.0218563163794,2268.698210085736,2261.8070104837834
2009100,Lake or Pond,473692.683,5022636.811,Anoka,Y,1,2.622070253,6.4,54.8945,2181.53752667213,2290.4606892335682,2175.4949604057456,2010.4942205775774,2000.4140001656826
3028700,Lake or Pond,291817.4582,5194740.795,Becker,Y,0,4.655283038,9.8,27.3331,1974.0086767550154,2081.6038722570274,1980.1722309042063,1832.4032429361625,1811.7956541320673
3035900,Lake or Pond,278935.0158,5183810.998,Becker,Y,0,2.304486007,8.215,45.4778,2018.8273522903653,2128.3629348577997,2031.941662504049,1886.625955829107,1865.4791271292563
3036000,Lake or Pond,280357.3017,5184987.564,Becker,Y,0,2.666774458,4.9,37.7049,1879.4495529538337,1981.9946558825957,1888.0751497028257,1746.308883199133,1729.45612913011
