DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha
1006200,Lake or Pond,478161.8144,5178526.958,Aitkin,Y,0,1.273618272,3.333333333,59.9015
1010400,Lake or Pond,458297.0716,5163659.077,Aitkin,Y,1,2.225896296,3.1,37.9678
1015700,Lake or Pond,440638.8309,5133864.451,Aitkin,Y,0,3.751983118,6.5,33.541
1020400,Lake or Pond,438034.8405,5131543.537,Aitkin,Y,0,3.542339277,5.9,34.3914
2000300,Lake or Pond,496849.0276,4996730.893,Anoka,Y,1,3.235489855,5.7,72.6983
2000400,Lake or Pond,495368.9805,5003213.13,Anoka,Y,1,1.258507742,5,45.8752
2000500,Lake or Pond,492958.6663,5002514.791,Anoka,Y,1,0.62185567,1.5,32.6897
2000600,Lake or Pond,494460.8242,5001105.981,Anoka,Y,1,1.302719735,5,50.0948
2000700,Lake or Pond,491397.8256,5001777.571,Anoka,Y,1,0.558478261,1.5,54.8147
2001400,Lake or Pond,495851.354,4997586.034,Anoka,Y,0,1.590168067,4.5,79.7414
2002600,Lake or Pond,491522.891,5022022.941,Anoka,Y,1,1.073605522,3.05,39.2435
2004200,Lake or Pond,486945.324,5016905.783,Anoka,Y,1,1.898448566,10.05,51.1229
2004800,Lake or Pond,485421.6659,5014771.252,Anoka,Y,1,3.123508772,4.88,51.1716
2005300,Lake or Pond,482559.9597,5011560.083,Anoka,Y,1,2.698723268,15.8,59.2544
2008400,Lake or Pond,473061.835,5006368.734,Anoka,Y,1,2.133528421,5.06,109.9689
2009100,Lake or Pond,473692.683,5022636.811,Anoka,Y,1,2.622070253,6.4,54.8945
2065400,Lake or Pond,476386.4092,4998573.642,Anoka,Y,1,2.329690141,5.7,51.8678
3028700,Lake or Pond,291817.4582,5194740.795,Becker,Y,0,4.655283038,9.8,27.3331
3035900,Lake or Pond,278935.0158,5183810.998,Becker,Y,0,2.304486007,8.215,45.4778
3036000,Lake or Pond,280357.3017,5184987.564,Becker,Y,0,2.666774458,4.9,37.7049
3036300,Lake or Pond,282167.9589,5184513.077,Becker,Y,0,3.076574074,6.4,75.4711
3037700,Lake or Pond,278329.0952,5178589.81,Becker,Y,0,2.353666667,3.1,32.4903
3038100,Lake or Pond,283887.3869,5185648.39,Becker,Y,0,3.245002198,7.77,75.4711
3038600,Lake or Pond,284071.2023,5195154.076,Becker,Y,0,2.644978641,6.705,35.2217
3038700,Lake or Pond,282239.0987,5194814.211,Becker,Y,0,2.6924,3.3528,35.2056
3047500,Lake or Pond,278686.5035,5180620.475,Becker,Y,0,2.997572292,6.7,58.4443
3050000,Lake or Pond,272108.1911,5181382.431,Becker,Y,0,3.909420905,6.7,27.6587
3050300,Lake or Pond,273249.5288,5180367.732,Becker,Y,0,3.955167273,6.71,33.2254
3057600,Lake or Pond,266513.5936,5183835.341,Becker,Y,0,5.343870615,12.115,40.0909
