avg_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd
1.273618272,59.9015,2049.1319341694593
2.225896296,37.9678,2135.511170811312
3.751983118,33.541,1964.831791036814
3.542339277,34.3914,1979.0738262532852
3.235489855,72.6983,2265.2478558414623
1.258507742,45.8752,2389.3584527571716
0.62185567,32.6897,2405.948799084669
1.302719735,50.0948,2509.1959406267342
0.558478261,54.8147,2421.3456874089475
1.073605522,39.2435,2375.4474833232744
1.898448566,51.1229,2229.772497942593
2.698723268,59.2544,2292.7874865705994
2.133528421,109.9689,2449.1598291467885
2.622070253,54.8945,2181.53752667213
4.655283038,27.3331,1974.0086767550151
2.304486007,45.4778,2018.8273522903653
2.666774458,37.7049,1879.4495529538335
3.076574074,75.4711,2003.52376203913
2.353666667,32.4903,1879.7259823381817
3.245002198,75.4711,1933.61290769198
2.644978641,35.2217,1968.9255888460884
2.6924,35.2056,1894.60974091022
2.997572292,58.4443,1994.287736807064
3.909420905,27.6587,1964.682239925371
3.955167273,33.2254,1923.9135714731128
5.343870615,40.0909,1952.7293259247945
3.096254902,44.5934,1936.7758698413425
2.370292408,27.6805,2014.910337645589
2.334433657,29.3227,1919.709630498346
3.482405122,29.3227,1919.709630498346
2.02823,30.0221,1977.6877161034129
3.813155556,18.0134,1958.003212174972
2.488284444,15.8043,1977.6877161034129
3.376936073,36.0916,1954.7454075768285
2.16488,19.0518,1905.557580847802
2.95439931,10.0108,1993.637396800839
3.332047664,32.8712,1959.9311966912585
3.59,25.4363,1954.7454075768285
2.660000296,54.815,1940.510504448984
3.015633793,34.9738,1990.3127806316804
3.757906006,53.0268,1921.949846515036
2.9446,88.1549,1966.8636805396627
2.532378049,40.1803,2000.3112891452784
3.315811554,43.7931,1851.5333591368064
0.786390981,38.7275,2335.421446717844
1.493440485,73.1354,2521.7780225571973
1.2991152,65.8484,2455.9226429309656
1.350859353,20.2353,2532.7124117132817
3.826360935,47.826,1806.4016535088977
2.778178621,76.0069,1835.128409086666
3.612104455,66.8005,1847.3310432481155
2.220684103,92.216,2505.8997357873386
3.527896552,74.5059,2477.456325278813
1.534992195,126.0616,2508.068262551373
1.438565401,58.2076,2552.1442220897684
2.677137166,83.788,2383.501702341583
2.898924675,25.6257,2500.44752868551
1.457567917,110.723,2533.010480748353
1.476571503,89.2722,2467.839995547015
1.780411765,67.7221,2438.4000381602505
2.168862253,69.6609,2419.2583601816546
0.79807218,4.9428,2598.0172333921373
2.878928462,40.9,2318.516405098285
1.067381643,18.1459,2430.863003667523
1.208,2.9742,2383.673051566129
1.6764,31.4563,2393.5185065919095
2.742178218,31.4563,2393.5185065919095
1.603873874,47.9126,2477.6397261750894
2.200882353,64.3282,2424.1309610862486
1.989560976,68.87,2470.9555169351243
1.275933409,45.0392,2409.358752593323
1.690663725,35.0387,2411.5818762439117
2.575627976,29.2657,2395.7433973476723
2.66085913,22.3999,2423.4408241013966
2.542670505,77.877,2414.5910111547832
1.625412903,77.0026,2485.110885419924
1.483132222,38.0517,2546.7967572210946
0.656095041,24.8976,2451.5046375835545
1.13098961,25.3988,2586.82906938736
0.502546584,83.5571,2604.575745341165
0.952101064,134.1676,2570.5803130306635
3.132666667,42.0876,2080.4984631940356
3.907021424,42.9057,2074.697793363936
3.323991379,15.8709,1981.897815489099
4.401081928,58.7442,1990.9806764208329
2.322061538,16.4794,1863.8028611977263
2.810240606,31.4444,1993.5008716744928
2.835809855,42.549,2142.511389183817
2.8967875,40.768,2142.511389183817
2.534444444,24.583,2142.511389183817
1.585073289,53.7987,2142.511389183817
4.217837073,42.4185,1977.2809759311656
5.683223621,60.5099,1894.690667320296
4.547634286,36.0916,1877.0982826765264
3.913847574,45.0482,1924.6536561618084
1.29032,69.7822,2317.164787507262
1.617435219,65.8926,2281.3241427990556
2.58152,94.29,2317.164787507262
2.727339592,85.0612,2315.7162789493673
1.34112,59.167,2392.39974868997
1.676807066,47.079,2322.650945593187
1.674672131,51.8488,2316.924921349065
3.227443721,54.7363,2201.72574008556
1.71704,29.7304,2319.095980837231
3.137236364,5.3236,1995.615178140662
3.076571969,101.1057,1907.959016520956
3.0108,10.6668,1437.6921099849635
4.753024533,19.954,1492.8923202018816
2.70824,9.6534,1533.6787467726506
5.438945455,0.156,1445.9034784893884
4.588785172,14.9628,1456.432470883699
4.181933333,0.1571,1510.6351140035797
3.01294363,44.0453,1632.8641625478847
5.617156522,22.0089,1601.3394778522184
4.773283761,18.2754,1493.5352187484957
4.390224726,58.6131,1999.5852287752543
3.76381106,32.691,2068.9019248931327
4.9276,44.3127,2074.8794627856223
4.322330435,32.323,2074.8794627856223
3.815045685,42.1416,2074.8794627856223
4.58411866,119.9252,2103.648012814882
2.19342385,44.2378,2153.518460300907
3.118538182,33.311,2160.2164761782365
3.60024,15.3924,2152.8257633402845
2.282021333,86.2031,2192.4112185983386
1.724035714,25.7684,2148.43396055183
1.592363842,49.2235,2155.791257794652
5.241206504,42.2696,2033.9775432516549
3.342362483,31.4841,2132.020953752549
2.883679918,24.1841,2147.0889365299977
3.243943662,29.0417,1892.602229183344
2.830850413,30.2771,2045.349855204636
4.353151648,54.4162,2045.349855204636
2.651096154,54.5322,2045.349855204636
4.303095502,61.3463,2056.557747707895
5.198569281,62.903,2029.3160293319584
3.298685712,30.7926,2045.349855204636
4.303714286,45.3602,2045.349855204636
4.013248,63.5738,2045.349855204636
4.341953271,47.6807,2045.349855204636
4.2164,87.4742,2095.3092487442996
5.44638033,40.3373,2109.920193236466
3.917602469,32.2135,2045.349855204636
3.668894382,37.9752,2045.349855204636
4.320764835,40.1336,2045.349855204636
4.896706667,42.9196,2086.240134635758
2.241877778,11.459,2045.349855204636
4.354277229,57.0502,1993.2432073789817
3.27244882,83.3935,2138.7385313967748
2.896766026,52.2278,2150.087951028839
4.541807746,59.5022,2190.4557444254615
3.858911184,36.4583,2096.249370417769
4.492374026,38.4153,2045.349855204636
3.421818993,97.1958,2105.125917396377
