avg_secchi,roaddensity_density_mperha,MRI.avg.ann.gdd
1.273618272,59.9015,1896.9112375867344
2.225896296,37.9678,1973.8081457520111
3.751983118,33.541,1800.2379453230626
3.542339277,34.3914,1813.1625615087269
3.235489855,72.6983,2087.332096222007
1.258507742,45.8752,2212.039580779235
0.62185567,32.6897,2229.7868533227133
1.302719735,50.0948,2325.4273539344645
0.558478261,54.8147,2250.0621765457236
1.073605522,39.2435,2191.262716400121
1.898448566,51.1229,2047.898356647604
2.698723268,59.2544,2109.5725464626717
2.133528421,109.9689,2261.8070104837834
2.622070253,54.8945,2000.4140001656824
4.655283038,27.3331,1811.7956541320673
2.304486007,45.4778,1865.4791271292563
2.666774458,37.7049,1729.45612913011
3.076574074,75.4711,1850.2932424231217
2.353666667,32.4903,1732.635114270828
3.245002198,75.4711,1776.6094572937104
2.644978641,35.2217,1809.442369535561
2.6924,35.2056,1744.0979617735147
2.997572292,58.4443,1840.7649533594747
3.909420905,27.6587,1811.434869923217
3.955167273,33.2254,1770.858131342114
5.343870615,40.0909,1793.07428920811
3.096254902,44.5934,1787.3394873359127
2.370292408,27.6805,1859.87653721468
2.334433657,29.3227,1772.4056354273016
3.482405122,29.3227,1772.4056354273016
2.02823,30.0221,1835.2872886262976
3.813155556,18.0134,1810.829449353347
2.488284444,15.8043,1835.2872886262976
3.376936073,36.0916,1810.2925436023984
2.16488,19.0518,1773.026925752578
2.95439931,10.0108,1847.3213803192189
3.332047664,32.8712,1814.8174851431015
3.59,25.4363,1810.2925436023984
2.660000296,54.815,1797.23889979876
3.015633793,34.9738,1843.4034184318764
3.757906006,53.0268,1774.7239354507562
2.9446,88.1549,1815.6193608207573
2.532378049,40.1803,1847.208943447389
3.315811554,43.7931,1707.0500272291838
0.786390981,38.7275,2153.881491229111
1.493440485,73.1354,2333.4840725537415
1.2991152,65.8484,2267.921367572273
1.350859353,20.2353,2364.6079242398596
3.826360935,47.826,1666.529150591762
2.778178621,76.0069,1685.015493641268
3.612104455,66.8005,1696.5905027026631
2.220684103,92.216,2321.632475492352
3.527896552,74.5059,2294.8882315684637
1.534992195,126.0616,2318.9802534353107
1.438565401,58.2076,2365.939627064782
2.677137166,83.788,2199.22636489671
2.898924675,25.6257,2314.7883889476757
1.457567917,110.723,2351.1206511485693
1.476571503,89.2722,2280.0971880694883
1.780411765,67.7221,2261.004039828334
2.168862253,69.6609,2243.996128864579
0.79807218,4.9428,2426.588624326313
2.878928462,40.9,2141.5228009065268
1.067381643,18.1459,2257.5540470895194
1.208,2.9742,2218.047819886612
1.6764,31.4563,2220.489803376058
2.742178218,31.4563,2220.489803376058
1.603873874,47.9126,2307.5404631125384
2.200882353,64.3282,2251.2559441387657
1.989560976,68.87,2297.1630211054953
1.275933409,45.0392,2233.3984464235964
1.690663725,35.0387,2234.391721976195
2.575627976,29.2657,2218.685106618052
2.66085913,22.3999,2249.888607814069
2.542670505,77.877,2242.589191936907
1.625412903,77.0026,2309.2538863621626
1.483132222,38.0517,2371.107977024337
0.656095041,24.8976,2283.119042886615
1.13098961,25.3988,2412.2726915177645
0.502546584,83.5571,2415.7195635005037
