EWMSTATUS,avg_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd
0,1.273618272,59.9015,1642.7369010532216
1,2.225896296,37.9678,1727.2368241440768
0,3.751983118,33.541,1551.9107861195948
0,3.542339277,34.3914,1556.52042591717
1,3.235489855,72.6983,1798.5228155732766
1,1.258507742,45.8752,1918.4535008288285
1,0.62185567,32.6897,1933.7763904606545
1,1.302719735,50.0948,2030.3845326434969
1,0.558478261,54.8147,1945.4540825632632
1,1.073605522,39.2435,1913.4756867491549
1,1.898448566,51.1229,1767.7781327436817
1,2.698723268,59.2544,1816.393735576265
1,2.133528421,109.9689,1976.4964767566316
1,2.622070253,54.8945,1726.7115690578084
0,4.655283038,27.3331,1559.1352525996217
0,2.304486007,45.4778,1623.8231541053033
0,2.666774458,37.7049,1487.788990464755
0,3.076574074,75.4711,1610.83741723149
0,2.353666667,32.4903,1494.4554779431933
0,3.245002198,75.4711,1531.198914656975
0,2.644978641,35.2217,1560.0795560661118
0,2.6924,35.2056,1503.6330328775866
0,2.997572292,58.4443,1597.92739806566
0,3.909420905,27.6587,1573.8369074399666
0,3.955167273,33.2254,1530.945295697275
0,5.343870615,40.0909,1551.0200769518783
0,3.096254902,44.5934,1549.7320523772116
0,2.370292408,27.6805,1620.385896450955
0,2.334433657,29.3227,1535.5440868522485
0,3.482405122,29.3227,1535.5440868522485
0,2.02823,30.0221,1579.8970005739916
0,3.813155556,18.0134,1551.218483529905
0,2.488284444,15.8043,1579.8970005739916
0,3.376936073,36.0916,1554.4725274175717
0,2.16488,19.0518,1519.3126054546815
0,2.95439931,10.0108,1592.5437185868734
0,3.332047664,32.8712,1559.52747486612
0,3.59,25.4363,1554.4725274175717
0,2.660000296,54.815,1544.266812090625
0,3.015633793,34.9738,1587.1731680014366
0,3.757906006,53.0268,1525.7516179089484
0,2.9446,88.1549,1558.1925234271816
0,2.532378049,40.1803,1591.7481743277983
0,3.315811554,43.7931,1457.6529527568466
0,0.786390981,38.7275,1878.0277671183817
1,1.493440485,73.1354,2046.1079224955615
1,1.2991152,65.8484,1974.0680452051283
1,1.350859353,20.2353,2057.564517929395
1,3.826360935,47.826,1413.533093121275
1,2.778178621,76.0069,1435.6653978854683
1,3.612104455,66.8005,1445.642422497585
1,2.220684103,92.216,2025.001469452755
1,3.527896552,74.5059,1995.782228711075
1,1.534992195,126.0616,2026.163995245035
1,1.438565401,58.2076,2069.57601417251
1,2.677137166,83.788,1905.5566762795831
1,2.898924675,25.6257,2018.8834307912084
1,1.457567917,110.723,2052.710002175608
1,1.476571503,89.2722,1984.750580711112
1,1.780411765,67.7221,1975.1290190875568
1,2.168862253,69.6609,1948.670509984735
0,0.79807218,4.9428,2130.55176868643
1,2.878928462,40.9,1859.256534770665
1,1.067381643,18.1459,1973.7120371855267
1,1.208,2.9742,1930.31169628339
1,1.6764,31.4563,1935.442654591515
1,2.742178218,31.4563,1935.442654591515
1,1.603873874,47.9126,2017.1951434741184
1,2.200882353,64.3282,1967.4759348413768
1,1.989560976,68.87,2012.0296041458416
1,1.275933409,45.0392,1950.20558556969
1,1.690663725,35.0387,1940.21841939901
1,2.575627976,29.2657,1927.3088038909264
1,2.66085913,22.3999,1963.9406312541032
1,2.542670505,77.877,1959.3027612985616
1,1.625412903,77.0026,2022.203167246575
1,1.483132222,38.0517,2080.38699812021
1,0.656095041,24.8976,1992.5431711262363
1,1.13098961,25.3988,2118.667260207497
1,0.502546584,83.5571,2107.887209393975
1,0.952101064,134.1676,2091.4099883148283
1,3.132666667,42.0876,1654.987112302925
1,3.907021424,42.9057,1644.17718619617
0,3.323991379,15.8709,1580.3534195172433
1,4.401081928,58.7442,1581.5066643450616
1,2.322061538,16.4794,1470.8910008653434
1,2.810240606,31.4444,1591.2621412225767
0,2.835809855,42.549,1720.4074049534584
0,2.8967875,40.768,1720.4074049534584
0,2.534444444,24.583,1720.4074049534584
0,1.585073289,53.7987,1720.4074049534584
0,4.217837073,42.4185,1564.1385671156518
0,5.683223621,60.5099,1479.968312900405
0,4.547634286,36.0916,1473.4002650879183
0,3.913847574,45.0482,1515.0870222737733
1,1.29032,69.7822,1857.1912260496051
