EWMSTATUS,avg_secchi,roaddensity_density_mperha,GFDL.avg.ann.gdd
0,1.273618272,59.9015,1657.7754160324066
1,2.225896296,37.9678,1735.5751765897332
0,3.751983118,33.541,1561.2566407336833
0,3.542339277,34.3914,1575.904947310387
1,3.235489855,72.6983,1813.105195174405
1,1.258507742,45.8752,1938.4542020954016
1,0.62185567,32.6897,1954.2241786318757
1,1.302719735,50.0948,2056.5809632871183
1,0.558478261,54.8147,1969.3459719665416
1,1.073605522,39.2435,1935.3977088252716
1,1.898448566,51.1229,1780.943687156965
1,2.698723268,59.2544,1833.7584706022433
1,2.133528421,109.9689,1992.7742547517169
1,2.622070253,54.8945,1738.3494130534732
0,4.655283038,27.3331,1581.7022364286483
0,2.304486007,45.4778,1639.8114055086785
0,2.666774458,37.7049,1497.4930089391432
0,3.076574074,75.4711,1625.3294248700415
0,2.353666667,32.4903,1497.9836990605268
0,3.245002198,75.4711,1546.63092786377
0,2.644978641,35.2217,1578.210437638665
0,2.6924,35.2056,1515.888448547835
0,2.997572292,58.4443,1615.5581838217734
0,3.909420905,27.6587,1588.3928612406917
0,3.955167273,33.2254,1542.567365698025
0,5.343870615,40.0909,1572.469747909385
0,3.096254902,44.5934,1559.3409321055033
0,2.370292408,27.6805,1636.661640921955
0,2.334433657,29.3227,1543.9940029337167
0,3.482405122,29.3227,1543.9940029337167
0,2.02823,30.0221,1596.3384919145385
0,3.813155556,18.0134,1565.4299065652467
0,2.488284444,15.8043,1596.3384919145385
0,3.376936073,36.0916,1573.2353169993216
0,2.16488,19.0518,1531.6757433537866
0,2.95439931,10.0108,1611.198736610665
0,3.332047664,32.8712,1576.0864993487137
0,3.59,25.4363,1573.2353169993216
0,2.660000296,54.815,1560.92817070696
0,3.015633793,34.9738,1605.75088204082
0,3.757906006,53.0268,1541.662068278425
0,2.9446,88.1549,1584.5767838996817
0,2.532378049,40.1803,1613.835036773815
0,3.315811554,43.7931,1477.2800707133883
0,0.786390981,38.7275,1898.6027456067932
1,1.493440485,73.1354,2059.1604026407035
1,1.2991152,65.8484,1981.3882256667785
1,1.350859353,20.2353,2051.056607584678
1,3.826360935,47.826,1431.27067150513
1,2.778178621,76.0069,1449.5744931562483
1,3.612104455,66.8005,1461.3279496323885
1,2.220684103,92.216,2041.5514373037831
1,3.527896552,74.5059,2012.2270619244
1,1.534992195,126.0616,2040.1602041837864
1,1.438565401,58.2076,2081.6132736628383
1,2.677137166,83.788,1918.4597766846032
1,2.898924675,25.6257,2032.524436271895
1,1.457567917,110.723,2066.4243503192033
1,1.476571503,89.2722,1994.3669704978
1,1.780411765,67.7221,1984.0702111239568
1,2.168862253,69.6609,1960.223235629215
0,0.79807218,4.9428,2136.0922676919818
1,2.878928462,40.9,1864.98257365378
1,1.067381643,18.1459,1978.779617019085
1,1.208,2.9742,1931.2668787094983
1,1.6764,31.4563,1943.8239200544715
1,2.742178218,31.4563,1943.8239200544715
1,1.603873874,47.9126,2036.2608931848183
1,2.200882353,64.3282,1975.60957071211
1,1.989560976,68.87,2016.373398424793
1,1.275933409,45.0392,1952.9469814755437
1,1.690663725,35.0387,1949.0562757781831
1,2.575627976,29.2657,1933.4823821933217
1,2.66085913,22.3999,1971.44594183471
1,2.542670505,77.877,1961.3689953746864
1,1.625412903,77.0026,2030.24158784001
1,1.483132222,38.0517,2088.7017564186535
1,0.656095041,24.8976,1995.9062483087932
1,1.13098961,25.3988,2126.88983777028
1,0.502546584,83.5571,2123.7538337861633
1,0.952101064,134.1676,2103.0817113592616
1,3.132666667,42.0876,1677.80351724291
1,3.907021424,42.9057,1664.025116204075
0,3.323991379,15.8709,1593.1122159479885
1,4.401081928,58.7442,1598.4310207421215
