EWMSTATUS,avg_secchi,roaddensity_density_mperha,IPSL.avg.ann.gdd
0,1.273618272,59.9015,1660.654588507005
1,2.225896296,37.9678,1736.23700181767
0,3.751983118,33.541,1567.91503078772
0,3.542339277,34.3914,1583.4573275919083
1,3.235489855,72.6983,1790.6550996621684
1,1.258507742,45.8752,1914.7364571920516
1,0.62185567,32.6897,1931.20111783047
1,1.302719735,50.0948,2037.4835635857737
1,0.558478261,54.8147,1946.246935787705
1,1.073605522,39.2435,1920.1676944427463
1,1.898448566,51.1229,1766.5283896249284
1,2.698723268,59.2544,1817.6827345925883
1,2.133528421,109.9689,1978.434025851415
1,2.622070253,54.8945,1730.1030897948217
0,4.655283038,27.3331,1583.07370825958
0,2.304486007,45.4778,1640.325142614283
0,2.666774458,37.7049,1497.9711412439033
0,3.076574074,75.4711,1623.459854587447
0,2.353666667,32.4903,1498.14344757175
0,3.245002198,75.4711,1552.3694275740067
0,2.644978641,35.2217,1584.067109856185
0,2.6924,35.2056,1519.3126222463516
0,2.997572292,58.4443,1615.482728183175
0,3.909420905,27.6587,1585.997019716315
0,3.955167273,33.2254,1546.7788668440685
0,5.343870615,40.0909,1566.48635283535
0,3.096254902,44.5934,1558.3749068487032
0,2.370292408,27.6805,1637.5065162999567
0,2.334433657,29.3227,1542.4741002213484
0,3.482405122,29.3227,1542.4741002213484
0,2.02823,30.0221,1608.8255724554283
0,3.813155556,18.0134,1574.05616388276
0,2.488284444,15.8043,1608.8255724554283
0,3.376936073,36.0916,1577.6854148840084
0,2.16488,19.0518,1538.9038320328232
0,2.95439931,10.0108,1615.936937782123
0,3.332047664,32.8712,1580.3892957642734
0,3.59,25.4363,1577.6854148840084
0,2.660000296,54.815,1570.4173117132334
0,3.015633793,34.9738,1615.1934315370183
0,3.757906006,53.0268,1545.842923846545
0,2.9446,88.1549,1590.312710614045
0,2.532378049,40.1803,1624.0953232574434
0,3.315811554,43.7931,1483.3585009408785
0,0.786390981,38.7275,1886.3024881436736
1,1.493440485,73.1354,2031.6351023783616
1,1.2991152,65.8484,1955.4524064495267
1,1.350859353,20.2353,2037.8058858837296
1,3.826360935,47.826,1443.2715770923817
1,2.778178621,76.0069,1456.5828416694949
1,3.612104455,66.8005,1466.957721576925
1,2.220684103,92.216,2023.4193104293984
1,3.527896552,74.5059,1987.8568642361784
1,1.534992195,126.0616,2027.6268502927385
1,1.438565401,58.2076,2069.3603014319983
1,2.677137166,83.788,1905.9973211339584
1,2.898924675,25.6257,2014.8466706647916
