EWMSTATUS,avg_secchi,roaddensity_density_mperha,MIROC5.avg.ann.gdd
0,1.273618272,59.9015,1659.3175824343334
1,2.225896296,37.9678,1737.9333759756285
0,3.751983118,33.541,1566.45667289073
0,3.542339277,34.3914,1575.20339956705
1,3.235489855,72.6983,1832.1223084272851
1,1.258507742,45.8752,1955.268780857513
1,0.62185567,32.6897,1971.2601735590863
1,1.302719735,50.0948,2065.9204776966417
1,0.558478261,54.8147,1988.4185501794084
1,1.073605522,39.2435,1949.3842482843168
1,1.898448566,51.1229,1807.202508521097
1,2.698723268,59.2544,1853.7903710593332
1,2.133528421,109.9689,2006.39095910153
1,2.622070253,54.8945,1757.5709930692951
0,4.655283038,27.3331,1570.9961116354184
0,2.304486007,45.4778,1623.0485219240368
0,2.666774458,37.7049,1479.8003354056384
0,3.076574074,75.4711,1605.248203313725
0,2.353666667,32.4903,1484.744180093095
0,3.245002198,75.4711,1533.6685691295984
0,2.644978641,35.2217,1562.5880846824434
0,2.6924,35.2056,1502.4212618882
0,2.997572292,58.4443,1597.27509286068
0,3.909420905,27.6587,1570.8848157413183
0,3.955167273,33.2254,1528.6080901056484
0,5.343870615,40.0909,1554.17447943157
0,3.096254902,44.5934,1543.8528067598318
0,2.370292408,27.6805,1620.0805504339166
0,2.334433657,29.3227,1528.895386551435
0,3.482405122,29.3227,1528.895386551435
0,2.02823,30.0221,1596.5593815588568
0,3.813155556,18.0134,1572.4816337219384
0,2.488284444,15.8043,1596.5593815588568
0,3.376936073,36.0916,1569.3594506988384
0,2.16488,19.0518,1528.8232645475682
0,2.95439931,10.0108,1608.5081330736084
0,3.332047664,32.8712,1578.5329814115585
0,3.59,25.4363,1569.3594506988384
0,2.660000296,54.815,1561.3598634195382
0,3.015633793,34.9738,1606.538144028195
0,3.757906006,53.0268,1540.9344982537834
0,2.9446,88.1549,1568.7280975993133
0,2.532378049,40.1803,1603.5025616161183
0,3.315811554,43.7931,1468.048219897715
0,0.786390981,38.7275,1909.0195386599232
1,1.493440485,73.1354,2073.0519253667635
1,1.2991152,65.8484,2003.3903282737951
1,1.350859353,20.2353,2079.5379895296533
1,3.826360935,47.826,1428.2917369250415
1,2.778178621,76.0069,1451.6204731242933
1,3.612104455,66.8005,1464.2762387370467
1,2.220684103,92.216,2055.5320922630317
1,3.527896552,74.5059,2022.5116785100868
1,1.534992195,126.0616,2057.2458343723747
1,1.438565401,58.2076,2098.0961827412048
1,2.677137166,83.788,1937.19574358415
1,2.898924675,25.6257,2046.6800249383032
1,1.457567917,110.723,2083.090230984185
1,1.476571503,89.2722,2013.8470598440583
1,1.780411765,67.7221,2002.9659619364284
1,2.168862253,69.6609,1977.4007852723184
0,0.79807218,4.9428,2149.309685406938
1,2.878928462,40.9,1886.2914431496467
1,1.067381643,18.1459,1996.2340728343936
1,1.208,2.9742,1959.234429450477
1,1.6764,31.4563,1961.6896908853432
1,2.742178218,31.4563,1961.6896908853432
1,1.603873874,47.9126,2045.8898124877633
1,2.200882353,64.3282,1989.2784957830468
1,1.989560976,68.87,2031.4200886735284
1,1.275933409,45.0392,1970.6830645484215
1,1.690663725,35.0387,1967.4861114311736
