EWMSTATUS,avg_secchi,roaddensity_density_mperha,MRI.avg.ann.gdd
0,1.273618272,59.9015,1554.746897235145
1,2.225896296,37.9678,1631.3975042710351
0,3.751983118,33.541,1456.3285429821717
0,3.542339277,34.3914,1467.4134179932637
1,3.235489855,72.6983,1682.4787751410115
1,1.258507742,45.8752,1811.722968419335
1,0.62185567,32.6897,1828.2093552812016
1,1.302719735,50.0948,1923.3568749102717
1,0.558478261,54.8147,1842.6123844687736
1,1.073605522,39.2435,1807.85993776934
1,1.898448566,51.1229,1664.3790723391148
1,2.698723268,59.2544,1705.3452696463316
1,2.133528421,109.9689,1864.24393075512
1,2.622070253,54.8945,1618.3846130111683
0,4.655283038,27.3331,1461.2315786508616
0,2.304486007,45.4778,1518.19587877582
0,2.666774458,37.7049,1377.10790263252
0,3.076574074,75.4711,1501.06291151485
0,2.353666667,32.4903,1385.5616055710234
0,3.245002198,75.4711,1427.6406711559084
0,2.644978641,35.2217,1458.9093011385585
0,2.6924,35.2056,1398.9086980571567
0,2.997572292,58.4443,1495.2022747920132
0,3.909420905,27.6587,1467.3225317778067
0,3.955167273,33.2254,1426.731326870635
0,5.343870615,40.0909,1450.519728410985
0,3.096254902,44.5934,1440.925870956735
0,2.370292408,27.6805,1516.0206527819216
0,2.334433657,29.3227,1424.8159358927337
0,3.482405122,29.3227,1424.8159358927337
0,2.02823,30.0221,1488.4254442079034
0,3.813155556,18.0134,1466.1536180242383
0,2.488284444,15.8043,1488.4254442079034
0,3.376936073,36.0916,1462.2799874807183
0,2.16488,19.0518,1423.1991635998083
0,2.95439931,10.0108,1501.52420683557
0,3.332047664,32.8712,1466.4794125389567
0,3.59,25.4363,1462.2799874807183
0,2.660000296,54.815,1448.03338548062
0,3.015633793,34.9738,1495.431724989395
0,3.757906006,53.0268,1426.683102471895
0,2.9446,88.1549,1463.3917951712965
0,2.532378049,40.1803,1493.0910036352816
0,3.315811554,43.7931,1353.43467252034
0,0.786390981,38.7275,1776.7010876023417
1,1.493440485,73.1354,1921.0204614311033
1,1.2991152,65.8484,1850.0287063773333
1,1.350859353,20.2353,1914.777652614175
1,3.826360935,47.826,1327.4523480266
1,2.778178621,76.0069,1346.0211737208815
1,3.612104455,66.8005,1355.885735310375
1,2.220684103,92.216,1911.2746952262632
1,3.527896552,74.5059,1879.6014014747068
1,1.534992195,126.0616,1912.75036955471
1,1.438565401,58.2076,1951.734292986885
1,2.677137166,83.788,1788.8254844299568
1,2.898924675,25.6257,1901.7869862404532
1,1.457567917,110.723,1936.0770975402768
1,1.476571503,89.2722,1867.4027503489383
1,1.780411765,67.7221,1860.1045546997968
1,2.168862253,69.6609,1834.33992599207
0,0.79807218,4.9428,2011.33813547858
1,2.878928462,40.9,1742.0486984309382
1,1.067381643,18.1459,1852.61022059556
1,1.208,2.9742,1814.6509944985733
1,1.6764,31.4563,1823.36950728184
1,2.742178218,31.4563,1823.36950728184
1,1.603873874,47.9126,1908.529983291405
1,2.200882353,64.3282,1854.0992497139969
1,1.989560976,68.87,1897.3669445229084
1,1.275933409,45.0392,1835.8991076222032
1,1.690663725,35.0387,1823.4949617796833
1,2.575627976,29.2657,1812.0985856463751
1,2.66085913,22.3999,1849.57682412909
1,2.542670505,77.877,1846.4438396075684
1,1.625412903,77.0026,1908.3269473868268
1,1.483132222,38.0517,1960.8963568083864
1,0.656095041,24.8976,1880.8373673997733
1,1.13098961,25.3988,1998.8605544345432
1,0.502546584,83.5571,1995.7514917987885
1,0.952101064,134.1676,1970.1026844598016
1,3.132666667,42.0876,1580.7421391143798
1,3.907021424,42.9057,1572.6415361838433
0,3.323991379,15.8709,1492.6060720087237
1,4.401081928,58.7442,1497.03614401946
1,2.322061538,16.4794,1386.1129833058333
1,2.810240606,31.4444,1504.5969951592767
0,2.835809855,42.549,1630.7365631285218
0,2.8967875,40.768,1630.7365631285218
0,2.534444444,24.583,1630.7365631285218
0,1.585073289,53.7987,1630.7365631285218
0,4.217837073,42.4185,1475.0787442916217
0,5.683223621,60.5099,1395.17355492578
0,4.547634286,36.0916,1384.097926604735
0,3.913847574,45.0482,1429.4676841436983
1,1.29032,69.7822,1760.31400480207
1,1.617435219,65.8926,1724.3225926997616
1,2.58152,94.29,1760.31400480207
1,2.727339592,85.0612,1748.5955436543568
1,1.34112,59.167,1826.337612469415
1,1.676807066,47.079,1761.0659690814184
0,1.674672131,51.8488,1756.5908866632883
1,3.227443721,54.7363,1659.0492125376934
1,1.71704,29.7304,1771.495303606175
0,3.137236364,5.3236,1498.3170491674084
0,3.076571969,101.1057,1406.894207820405
0,3.0108,10.6668,1037.0036390006976
0,4.753024533,19.954,1076.0730166730486
0,2.70824,9.6534,1121.48729095016
0,5.438945455,0.156,1025.1681231880448
0,4.588785172,14.9628,1034.985860155287
0,4.181933333,0.1571,1089.049424708949
0,3.01294363,44.0453,1185.9440489705237
0,5.617156522,22.0089,1158.0566547434858
0,4.773283761,18.2754,1073.14419931959
1,4.390224726,58.6131,1491.5494482111117
1,3.76381106,32.691,1553.5478797810251
1,4.9276,44.3127,1558.27780343411
1,4.322330435,32.323,1558.27780343411
1,3.815045685,42.1416,1558.27780343411
0,4.58411866,119.9252,1595.380107126015
1,2.19342385,44.2378,1635.11346530837
0,3.118538182,33.311,1645.1272667617634
0,3.60024,15.3924,1643.184637277545
0,2.282021333,86.2031,1671.4448077564766
1,1.724035714,25.7684,1645.1101567980468
1,1.592363842,49.2235,1653.109277747205
1,5.241206504,42.2696,1533.4534025853766
1,3.342362483,31.4841,1625.7774635004
1,2.883679918,24.1841,1637.2488581899015
1,3.243943662,29.0417,1399.0296963883616
0,2.830850413,30.2771,1542.6195425099318
0,4.353151648,54.4162,1542.6195425099318
0,2.651096154,54.5322,1542.6195425099318
0,4.303095502,61.3463,1551.3356231705484
0,5.198569281,62.903,1525.9550183265617
0,3.298685712,30.7926,1542.6195425099318
0,4.303714286,45.3602,1542.6195425099318
0,4.013248,63.5738,1542.6195425099318
0,4.341953271,47.6807,1542.6195425099318
0,4.2164,87.4742,1578.862241856725
1,5.44638033,40.3373,1597.733125333925
0,3.917602469,32.2135,1542.6195425099318
0,3.668894382,37.9752,1542.6195425099318
0,4.320764835,40.1336,1542.6195425099318
1,4.896706667,42.9196,1576.885758089007
0,2.241877778,11.459,1542.6195425099318
0,4.354277229,57.0502,1479.6055129730337
0,3.27244882,83.3935,1624.518783138545
0,2.896766026,52.2278,1636.8427331762634
