DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,EWMSTATUS,avg_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain,ACCESS.GAMminK.CurrPred,GFDL.GAMminK.CurrPred,IPSL.GAMminK.CurrPred,MIROC5.GAMminK.CurrPred,MRI.GAMminK.CurrPred,ACCESS.GAMminK.FutrPred,GFDL.GAMminK.FutrPred,IPSL.GAMminK.FutrPred,MIROC5.GAMminK.FutrPred,MRI.GAMminK.FutrPred,ACCESS.GAMbestK.CurrPred,GFDL.GAMbestK.CurrPred,IPSL.GAMbestK.CurrPred,MIROC5.GAMbestK.CurrPred,MRI.GAMbestK.CurrPred,ACCESS.GAMbestK.FutrPred,GFDL.GAMbestK.FutrPred,IPSL.GAMbestK.FutrPred,MIROC5.GAMbestK.FutrPred,MRI.GAMbestK.FutrPred,ACCESS.RF.CurrPred,GFDL.RF.CurrPred,IPSL.RF.CurrPred,MIROC5.RF.CurrPred,MRI.RF.CurrPred,ACCESS.RF.FutrPred,GFDL.RF.FutrPred,IPSL.RF.FutrPred,MIROC5.RF.FutrPred,MRI.RF.FutrPred,mean.curr.preds,var.curr.preds,mean.fut.preds,var.fut.preds
1006200,Lake or Pond,478161.8144,5178526.958,Aitkin,0,1.273618272,59.9015,1642.736901,1659.317582,1660.654589,1657.775416,1554.746897,2049.131934,2144.603317,2050.830435,1908.762302,1896.911238,Analog,Analog,Analog,Analog,Analog,0.129503132,0.132399226,0.135344665,0.120166498,0.134858011,0.964192981,0.719851031,0.971647852,0.987554499,0.942417687,0.058485492,0.055570548,0.059800167,0.054807626,0.061784572,0.92743494,0.810820398,0.933130758,0.91858706,0.929142242,0.207773333,0.187366667,0.188626667,0.19759,0.183246667,0.955836667,0.83439,0.956926667,0.955346667,0.927866667,0.089145554,0.001409871,0.932072726,5.59E-04
1010400,Lake or Pond,458297.0716,5163659.077,Aitkin,1,2.225896296,37.9678,1727.236824,1737.933376,1736.237002,1735.575177,1631.397504,2135.511171,2239.607862,2140.67691,1992.239073,1973.808146,Analog,Analog,Analog,Analog,Analog,0.264913159,0.257479166,0.273848521,0.250925031,0.284259884,0.992179041,0.913472302,0.994842411,0.997825358,0.986926756,0.206922693,0.189138962,0.221059021,0.194169138,0.238371505,0.930913755,0.936977156,0.934137669,0.905928913,0.948983706,0.63694,0.547363333,0.553823333,0.567613333,0.553376667,0.893526667,0.919133333,0.885016667,0.872133333,0.90723,0.223819023,0.001412598,0.942011046,0.001393282
1015700,Lake or Pond,440638.8309,5133864.451,Aitkin,0,3.751983118,33.541,1551.910786,1566.456673,1567.915031,1561.256641,1456.328543,1964.831791,2051.829077,1967.441239,1816.0165,1800.237945,Analog,Analog,Analog,Analog,Analog,0.155259737,0.153258711,0.155007545,0.158967767,0.154265788,0.939349963,0.613595753,0.948549002,0.978259913,0.884827066,0.140905207,0.143057338,0.136074821,0.137920233,0.134670899,0.967942076,0.729832509,0.972595113,0.979536898,0.949291626,0.03486,0.034706667,0.063286667,0.0347,0.08982,0.94382,0.723846667,0.93763,0.915996667,0.930523333,0.132765255,0.001014563,0.941895738,7.01E-04
1020400,Lake or Pond,438034.8405,5131543.537,Aitkin,0,3.542339277,34.3914,1556.520426,1575.2034,1583.457328,1575.904947,1467.413418,1979.073826,2066.681663,1983.365157,1832.835602,1813.162562,Analog,Analog,Analog,Analog,Analog,0.149991558,0.154786708,0.158310789,0.155693283,0.153946949,0.947697823,0.648131917,0.957530753,0.981487477,0.898322557,0.128945892,0.127180665,0.122622156,0.125194074,0.122228714,0.968520674,0.775370525,0.973323034,0.97809024,0.953417551,0.021736667,0.021396667,0.019196667,0.03656,0.022083333,0.93209,0.752666667,0.917306667,0.915406667,0.92463,0.123209398,8.61E-04,0.94493293,5.88E-04
2000300,Lake or Pond,496849.0276,4996730.893,Anoka,1,3.235489855,72.6983,1798.522816,1832.122308,1790.6551,1813.105195,1682.478775,2265.247856,2388.251518,2265.347069,2092.774596,2087.332096,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.728926629,0.726088533,0.698198404,0.758782826,0.705667155,0.999725045,0.994350684,0.999823236,0.999941383,0.999466199,0.796278867,0.804372667,0.765009163,0.836931703,0.771077134,0.959941432,0.98530412,0.9581206,0.933041384,0.972828806,0.92026,0.92497,0.896266667,0.892026667,0.89206,0.84452,0.974266667,0.857393333,0.85034,0.920733333,0.776566756,0.002580825,0.975155711,0.00393123
2000400,Lake or Pond,495368.9805,5003213.13,Anoka,1,1.258507742,45.8752,1918.453501,1955.268781,1914.736457,1938.454202,1811.722968,2389.358453,2519.848045,2390.365072,2214.155017,2212.039581,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.723372872,0.751043079,0.728969633,0.756830132,0.750006824,0.999815059,0.99634277,0.999902654,0.999962809,0.999701281,0.804697006,0.828563639,0.809517504,0.825865959,0.824084539,0.594005186,0.829807124,0.553784837,0.431461141,0.648183407,0.975683333,0.981513333,0.978683333,0.98501,0.980686667,0.86692,0.941696667,0.87161,0.867876667,0.867613333,0.817564208,0.001294195,0.823111011,0.0954058
2000500,Lake or Pond,492958.6663,5002514.791,Anoka,1,0.62185567,32.6897,1933.77639,1971.260174,1931.201118,1954.224179,1828.209355,2405.948799,2537.868795,2407.144546,2231.560325,2229.786853,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.627511478,0.667705654,0.645250977,0.667700608,0.668049107,0.99972562,0.994797797,0.999861116,0.999945484,0.99957668,0.693054643,0.723923825,0.70547183,0.718499457,0.722643012,0.373293765,0.663219658,0.33228261,0.232099668,0.420183836,0.689893333,0.73184,0.720876667,0.71841,0.73566,0.63937,0.727356667,0.675673333,0.664926667,0.6533,0.72842933,0.003355175,0.699600078,0.113702219
2000600,Lake or Pond,494460.8242,5001105.981,Anoka,1,1.302719735,50.0948,2030.384533,2065.920478,2037.483564,2056.580963,1923.356875,2509.195941,2651.232163,2513.706538,2328.925591,2325.427354,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.943331676,0.956366672,0.958303357,0.950206383,0.95639591,0.999977054,0.999521,0.999990099,0.999996051,0.999964618,0.913993822,0.915886407,0.922197585,0.917902488,0.922323062,0.431261447,0.716395586,0.359745968,0.261069504,0.46292502,0.975943333,0.95698,0.979176667,0.9724,0.968396667,0.854226667,0.85589,0.864193333,0.857676667,0.860196667,0.919018033,7.19E-04,0.789843706,0.135171752
2000700,Lake or Pond,491397.8256,5001777.571,Anoka,1,0.558478261,54.8147,1945.454083,1988.41855,1946.246936,1969.345972,1842.612384,2421.345687,2553.226248,2425.822894,2248.806929,2250.062177,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.750481979,0.788827898,0.772425788,0.78950623,0.787812541,0.999857721,0.997347141,0.999931803,0.999970515,0.999797548,0.791278721,0.815559298,0.804607159,0.811415489,0.814573058,0.443002044,0.71854488,0.385168297,0.279920154,0.471177903,0.711576667,0.7187,0.697576667,0.72087,0.710296667,0.559303333,0.558513333,0.573733333,0.562276667,0.55415,0.825205613,0.002576989,0.769209236,0.113580069
2002600,Lake or Pond,491522.891,5022022.941,Anoka,1,1.073605522,39.2435,1913.475687,1949.384248,1920.167694,1935.397709,1807.859938,2375.447483,2498.838033,2372.804146,2201.602415,2191.262716,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.654371274,0.69362061,0.696907022,0.690315185,0.688106111,0.999701488,0.994265923,0.999830913,0.999932997,0.99944663,0.743580117,0.778085697,0.77540397,0.768752696,0.769928319,0.546318433,0.799498668,0.515824999,0.396863391,0.619725962,0.965016667,0.975856667,0.96894,0.969933333,0.962916667,0.879593333,0.964033333,0.883553333,0.878776667,0.88172,0.770073833,0.001877624,0.794859613,0.093623824
2004200,Lake or Pond,486945.324,5016905.783,Anoka,1,1.898448566,51.1229,1767.778133,1807.202509,1766.52839,1780.943687,1664.379072,2229.772498,2342.309398,2224.039529,2053.74758,2047.898357,Analog,NonAnalog,Analog,Analog,Analog,0.373445415,0.374872007,0.360471933,0.421847809,0.379786413,0.998446858,0.968249249,0.998878766,0.999604164,0.996635733,0.355313289,0.354618927,0.337363112,0.447482194,0.371865177,0.884718974,0.947530867,0.88797111,0.825724643,0.923959717,0.648916667,0.66243,0.726213333,0.723986667,0.736026667,0.798343333,0.834293333,0.841093333,0.7954,0.885146667,0.396772003,0.002762451,0.933741262,0.007265256
2005300,Lake or Pond,482559.9597,5011560.083,Anoka,1,2.698723268,59.2544,1816.393736,1853.790371,1817.682735,1833.758471,1705.34527,2292.787487,2413.352598,2293.892955,2113.719569,2109.572546,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.663094521,0.672667937,0.662025361,0.708471673,0.657380215,0.999702664,0.993351089,0.999821211,0.999933839,0.999395802,0.748898767,0.77191052,0.754857797,0.804670092,0.745410193,0.915643409,0.971451107,0.910016772,0.864626857,0.942768111,0.913883333,0.884896667,0.851923333,0.875423333,0.865956667,0.862736667,0.975586667,0.86282,0.873726667,0.908656667,0.746595107,0.002116962,0.954198169,0.014660833
2008400,Lake or Pond,473061.835,5006368.734,Anoka,1,2.133528421,109.9689,1976.496477,2006.390959,1978.434026,1992.774255,1864.243931,2449.159829,2579.014409,2446.021856,2268.69821,2261.80701,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.974996939,0.975831323,0.977540812,0.974957196,0.97641893,0.999988801,0.999745379,0.999993673,0.99999754,0.999978867,0.981801627,0.982527747,0.983064289,0.981529936,0.982715154,0.877720867,0.959605869,0.850696513,0.777440159,0.896573109,0.99749,0.996633333,0.996736667,0.995566667,0.9971,0.884083333,0.887766667,0.894933333,0.888386667,0.888616667,0.979897798,9.16E-05,0.96149342,0.06376491
2009100,Lake or Pond,473692.683,5022636.811,Anoka,1,2.622070253,54.8945,1726.711569,1757.570993,1730.10309,1738.349413,1618.384613,2181.537527,2290.460689,2175.49496,2010.494221,2000.414,Analog,NonAnalog,Analog,Analog,Analog,0.385391917,0.379265982,0.377359342,0.413652385,0.372865216,0.997890947,0.960347577,0.998367174,0.999448653,0.995231018,0.325951135,0.312695099,0.319257056,0.383901438,0.312938492,0.950839649,0.968216284,0.954415341,0.927006026,0.968311402,0.642006667,0.57089,0.605426667,0.74777,0.594913333,0.916323333,0.942043333,0.91248,0.839593333,0.91691,0.343674876,0.002185196,0.965185603,0.001152736
3028700,Lake or Pond,291817.4582,5194740.795,Becker,0,4.655283038,27.3331,1559.135253,1570.996112,1583.073708,1581.702236,1461.231579,1974.008677,2081.603872,1980.172231,1832.403243,1811.795654,Analog,Analog,Analog,Analog,Analog,0.181119488,0.18754289,0.188089742,0.187561151,0.178781627,0.953912729,0.691272679,0.963483484,0.988524967,0.914663234,0.169635046,0.166563043,0.163163719,0.171254426,0.16315602,0.976290283,0.826091101,0.980311674,0.9847431,0.965373614,0.12073381,0.113937778,0.117593571,0.11775645,0.113256667,0.937236667,0.728665714,0.910536667,0.910316667,0.912866667,0.155858879,0.001530651,0.960004689,5.59E-04
3035900,Lake or Pond,278935.0158,5183810.998,Becker,0,2.304486007,45.4778,1623.823154,1623.048522,1640.325143,1639.811406,1518.195879,2018.827352,2128.362935,2031.941663,1886.625956,1865.479127,Analog,Analog,Analog,Analog,Analog,0.153185349,0.156696359,0.157814886,0.136011763,0.144303714,0.958473377,0.72224672,0.972100501,0.98914494,0.932696104,0.084207695,0.081851036,0.084460852,0.075510536,0.078422213,0.954259966,0.838354611,0.960300736,0.955957281,0.950926379,0.046093333,0.038093333,0.03746,0.035576667,0.040386667,0.873663333,0.808223333,0.86511,0.881846667,0.89019,0.097347161,7.46E-04,0.944666186,3.80E-04
3036000,Lake or Pond,280357.3017,5184987.564,Becker,0,2.666774458,37.7049,1487.78899,1479.800335,1497.971141,1497.493009,1377.107903,1879.449553,1981.994656,1888.07515,1746.308883,1729.456129,Analog,Analog,Analog,Analog,Analog,0.084479937,0.086010767,0.081490111,0.076474332,0.077048643,0.744051861,0.327487376,0.776831122,0.906658912,0.636209981,0.111733979,0.117826778,0.112915661,0.113676046,0.112762229,0.854097195,0.279506398,0.880329828,0.944711688,0.75467597,0.0716,0.039823333,0.05823,0.06885,0.050643333,0.912123333,0.164963333,0.931143333,0.95608,0.687356667,0.112180929,0.001232535,0.783847394,0.00212421
3036300,Lake or Pond,282167.9589,5184513.077,Becker,0,3.076574074,75.4711,1610.837417,1605.248203,1623.459855,1625.329425,1501.062912,2003.523762,2111.806226,2014.262757,1870.027057,1850.293242,Analog,Analog,Analog,Analog,Analog,0.311444567,0.307194062,0.303964733,0.273476975,0.284426513,0.980171236,0.844777893,0.985499697,0.994683101,0.966222565,0.210485136,0.202451542,0.201304446,0.18974855,0.19258619,0.983916207,0.922213034,0.98604289,0.9858151,0.981026978,0.1289,0.130163333,0.15584,0.15141,0.145916667,0.93373,0.887896667,0.91774,0.926956667,0.934473333,0.223801556,0.0030662,0.978364527,9.61E-05
3037700,Lake or Pond,278329.0952,5178589.81,Becker,0,2.353666667,32.4903,1494.455478,1484.74418,1498.143448,1497.983699,1385.561606,1879.725982,1984.152648,1887.923288,1748.416209,1732.635114,Analog,Analog,Analog,Analog,Analog,0.067005774,0.067378355,0.063559299,0.059922639,0.061493119,0.689024597,0.276109551,0.726417178,0.883612355,0.581804536,0.080285185,0.087587981,0.083972715,0.082293356,0.080292099,0.808993974,0.225209945,0.841032075,0.925976023,0.70197961,0.036063333,0.03176,0.052746667,0.048056667,0.074313333,0.888746667,0.209063333,0.93045,0.959953333,0.692426667,0.085301214,8.13E-04,0.736716465,0.002346442
3038100,Lake or Pond,283887.3869,5185648.39,Becker,0,3.245002198,75.4711,1531.198915,1533.668569,1552.369428,1546.630928,1427.640671,1933.612908,2037.392107,1940.028807,1796.314535,1776.609457,Analog,Analog,Analog,Analog,Analog,0.238066961,0.236527113,0.23419106,0.21822973,0.219320821,0.947615413,0.696645886,0.955187461,0.984160133,0.904876046,0.236581886,0.233415295,0.218797164,0.225152007,0.224088276,0.974788116,0.756597332,0.978518466,0.986725047,0.955833307,0.163373333,0.157953333,0.15388,0.155043333,0.141936667,0.948553333,0.780676667,0.947106667,0.9398,0.895753333,0.238301431,0.003803996,0.960634338,2.66E-04
